"Original entry";"Current entry";"Number of entries";"Level 1";"Level 2"
"Platyhelminthes";"Platyhelminthes";87;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Amphibia";"Amphibia";90;"Amphibians";"Vertebrates"
"Acari";"Arthropoda";97;"Arthropods p.p. (Myriapods, Diplopods etc.)";"Arthropoda"
"Bryophyta";"Bryophyta";99;"Bryophytes";"Plants"
"Cnidaria";"Cnidaria";102;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Mammalia";"Mammals";104;"Mammals";"Vertebrates"
"Malacostraca";"Crustacea";105;"Crustaceans";"Arthropoda"
"Nematoda";"Nematoda";117;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"nematode";"Nematoda";117;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Gastropoda";"Gastropoda";148;"Molluscs";"Invertebrates"
"Fungi";"Fungi";153;"Fungi";"Fungi"
"Reptilia";"Reptilia";177;"Reptiles";"Vertebrates"
"vascular plants";"Plants";202;"Vascular plants";"Plants"
"Actinopterygii";"Fish";348;"Fish";"Vertebrates"
"Algae";"Algae";476;"Algae";"Plants"
"algae";"Algae";;"Algae";"Plants"
"Mammal";"Mammals";573;"Mammals";"Vertebrates"
"Aves";"Birds";586;"Birds";"Vertebrates"
"Osteichthyes";"Fish";737;"Fish";"Vertebrates"
"Mollusca";"Mollusca";754;"Molluscs";"Invertebrates"
"Crustacea";"Crustacea";781;"Crustaceans";"Arthropoda"
"flowering plant";"Plants";1824;"Vascular plants";"Plants"
"Insecta";"Insects";2223;"Insects";"Arthropoda"
"Mammals";"Mammals";3531;"Mammals";"Vertebrates"
"Bird";"Birds";4304;"Birds";"Vertebrates"
"Plants";"Plants";7134;"Vascular plants";"Plants"
"Plantae";"Plants";7293;"Vascular plants";"Plants"
"plant";"Plants";8401;"Vascular plants";"Plants"
"Plant";"Plants";8401;"Vascular plants";"Plants"
"Vascular Plants";"Plants";8463;"Vascular plants";"Plants"
"Decapoda";"Decapoda";;"Crustaceans";"Invertebrates"
"Bryozoa";"Bryozoa";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Caenogastropoda";"Caenogastropoda";;"Molluscs";"Invertebrates"
"Chlorophyta";"Chlorophyta";;"Algae";"Plants"
"Architaenioglossa";"Architaenioglossa";;"Molluscs";"Invertebrates"
"Cionidae";"Cionidae";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Cirrepedia";"Cirrepedia";;"Crustaceans";"Invertebrates"
"Cyprinodontiformers";"Cyprinodontiformers";;"Fish";"Vertebrates"
"Echinodermata";"Echinodermata";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Mesogastropoda";"Mesogastropoda";;"Molluscs";"Invertebrates"
"Notostraca";"Notostraca";;"Crustaceans";"Invertebrates"
"Phaeophyta";"Phaeophyta";;"Algae";"Plants"
"Rhodophyta";"Rhodophyta";;"Algae";"Plants"
"Styelidae";"Styelidae";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Stylommatophora";"Stylommatophora";;"Molluscs";"Invertebrates"
"Tanaidacea";"Tanaidacea";;"Crustaceans";"Invertebrates"
"Amphipoda";"Amphipoda";;"Crustaceans";"Invertebrates"
"Platyhelminthes";"Platyhelminthes";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Plathelminthes";"Plathelminthes";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Bryophyta";"Bryophyta";;"Bryophytes";"Plants"
"Bryophytes";"Bryophytes";;"Bryophytes";"Plants"
"Reptile";"Reptile";;"Reptiles";"Vertebrates"
"Entoprocta";"Entoprocta";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"virus";"Virus";;"Viruses";"Viruses"
"Virus";"Virus";;"Viruses";"Viruses"
"Dictyoptera";"Dictyoptera";;"Insects";"Arthropoda"
"Udeonychophora";"Udeonychophora";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Homoptera";"Homoptera";;"Insects";"Arthropoda"
"Coleoptera";"Coleoptera";;"Insects";"Arthropoda"
"Diptera";"Diptera";;"Insects";"Arthropoda"
"Hymenoptera";"Hymenoptera";;"Insects";"Arthropoda"
"Lepidoptera";"Lepidoptera";;"Insects";"Arthropoda"
"Symphyla";"Symphyla";;"Arthropods p.p. (Myriapods, Diplopods etc.)";"Invertebrates"
"Magnoliophyta";"Magnoliophyta";;"Vascular plants";"Plants"
"Heteroptera";"Heteroptera";;"Insects";"Arthropoda"
"Pteridophyta";"Pteridophyta";;"Vascular plants";"Plants"
"Magnoliopsida";"Magnoliopsida";;"Vascular plants";"Plants"
"Liliopsida";"Liliopsida";;"Vascular plants";"Plants"
"Protura";"Arthropoda";;"Arthropods p.p. (Myriapods, Diplopods etc.)";"Arthropoda"
"Ctenophora";"Ctenophora";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Oligochaetae";"Oligochaetae";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Annelida";"Annelida";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Crustacean";"Crustacean";;"Crustaceans";"Arthropoda"
"Tunicata";"Tunicata";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Bryopsida";"Bryopsida";;"Bryophytes";"Plants"
"Pisces Cyprinidae";"Pisces Cyprinidae";;"Fish";"Vertebrates"
"Platyhelminthes Monogenea";"Platyhelminthes Monogenea";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Platyhelminthes Trematoda";"Platyhelminthes Trematoda";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Mollusca Bivalvia";"Mollusca Bivalvia";;"Molluscs";"Invertebrates"
"Mollusca Gastropoda";"Mollusca Gastropoda";;"Molluscs";"Invertebrates"
"Crustacea (other)";"Crustacea (other)";;"Crustaceans";"Arthropoda"
"Crustacea Decapoda";"Crustacea Decapoda";;"Crustaceans";"Arthropoda"
"Crustacea Ostracoda";"Crustacea Ostracoda";;"Crustaceans";"Arthropoda"
"Mosses";"Bryophyta";;"Bryophytes";"Plants"
"Lichens";"Fungi";;"Fungi";"Fungi"
"Flatworms";"Platyhelminthes";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Cnidarians";"Cnidarians";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Angiosperms";"Angiosperms";;"Vascular plants";"Plants"
"Annelids";"Annelids";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Coniferous plants";"Coniferous plants";;"Vascular plants";"Vascular plants"
"Ferns";"Ferns";;"Vascular plants";"Plants"
"Macroalgae";"Macroalgae";;"Algae";"Plants"
"Nematodes";"Nematodes";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Phytoplankton";"Phytoplankton";;"Algae";"Plants"
"Protozoans";"Protozoans";;"Bacteria and protozoans";"Bacteria and protozoa"
"ANGIOSPERMAE";"ANGIOSPERMAE";;"Vascular plants";"Plants"
"Annelid";"Annelid";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
