"CountryState";"Binomial";"IntrodDate"
"AUSTRALIA Tasmania";"Alauda arvensis";1867
"AUSTRALIA Tasmania";"Anas platyrhynchos";1955
"AUSTRALIA Tasmania";"Cacatua roseicapilla";1925
"AUSTRALIA Tasmania";"Callipepla californica";1925
"AUSTRALIA Tasmania";"Carduelis carduelis";1827
"AUSTRALIA Tasmania";"Carduelis chloris";1941
"AUSTRALIA Tasmania";"Carduelis flammea";1912
"AUSTRALIA Tasmania";"Cereopsis novaehollandiae";1968
"AUSTRALIA Tasmania";"Columba livia";1850
"AUSTRALIA Tasmania";"Dacelo novaeguineae";1975
"AUSTRALIA Tasmania";"Dromaius novaehollandiae";1968
"AUSTRALIA Tasmania";"Emberiza citrinella";2003
"AUSTRALIA Tasmania";"Fringilla coelebs";1964
"AUSTRALIA Tasmania";"Gallinula mortierii";1969
"AUSTRALIA Tasmania";"Gallirallus australis";1830
"AUSTRALIA Tasmania";"Gymnorhina tibicen";1979
"AUSTRALIA Tasmania";"Meleagris gallopavo";1949
"AUSTRALIA Tasmania";"Menura novaehollandiae";1911
"AUSTRALIA Tasmania";"Passer domesticus";1865
"AUSTRALIA Tasmania";"Phasianus colchicus";1854
"AUSTRALIA Tasmania";"Stigmatopelia chinensis";1895
"AUSTRALIA Tasmania";"Sturnus vulgaris";1840
"AUSTRALIA Tasmania";"Turdus merula";1857
"AUSTRALIA Tasmania";"Turdus philomelos";1981
"AUSTRALIA Tasmania";"Bubulcus ibis";1965
"AUSTRALIA Tasmania";"Platycercus elegans";1998
"AUSTRALIA Tasmania";"Cygnus olor";1944
"AUSTRALIA Tasmania";"Pavo cristatus";1979
"AUSTRALIA Victoria";"Acridotheres tristis";1862
"AUSTRALIA Victoria";"Alauda arvensis";1852
"AUSTRALIA Victoria";"Anas platyrhynchos";1864
"AUSTRALIA Victoria";"Carduelis carduelis";1857
"AUSTRALIA Victoria";"Carduelis chloris";1863
"AUSTRALIA Victoria";"Columba livia";1872
"AUSTRALIA Victoria";"Lonchura castaneothorax";1965
"AUSTRALIA Victoria";"Lonchura punctulata";1976
"AUSTRALIA Victoria";"Menura novaehollandiae";1911
"AUSTRALIA Victoria";"Passer domesticus";1855
"AUSTRALIA Victoria";"Passer montanus";1863
"AUSTRALIA Victoria";"Phasianus colchicus";1858
"AUSTRALIA Victoria";"Pycnonotus jocosus";1917
"AUSTRALIA Victoria";"Stigmatopelia chinensis";1865
"AUSTRALIA Victoria";"Sturnus vulgaris";1856
"AUSTRALIA Victoria";"Trichoglossus chlorolepidotus";1998
"AUSTRALIA Victoria";"Turdus merula";1857
