Adenostemma lavenia
Adenostemma lavenia angustifolium
Adenostemma lavenia latifolium
Adenostemma lavenia madurense
Adenostemma lavenia reticulatum
Adenostemma lavenia rugosum
Adenostemma platyphyllum
Adenostemma viscosum
Adiantum anceps
Adiantum capillus-veneris
Adiantum caudatum
Adiantum Edwinii
Adiantum fructuosum
Adiantum hispidulum
Adiantum latifolium
Adiantum raddianum
Adiantum tenerum
Adiantum trapeziforme
Adlumia fungosa
Adonidia merrillii
Adonis aestivalis
Adonis annua
Adonis flammea
Adonis microcarpa
Adonis vernalis
Aechmea bracteata
Aechmea chantinii
Aechmea dichlamydea
Aechmea fasciata
Aechmea fulgens
Aegilops caudata
Aegilops columnaris
Aegilops crassa
Aegilops cylindrica
Aegilops geniculata
Aegilops neglecta
Aegilops speltoides
Aegilops tauschii
Aegilops triuncialis
Aegilops ventricosa
Aegle marmelos
Aegonychon purpurea-coeruleum
Aegopodium alpestre
Aegopodium podagraria
Aegopogon cenchroides
Aeluropus lagopoides
Aeonium arboreum
Aeonium cuneatum
Aeonium decorum
Aeonium glutinosum
Aeonium haworthii
Aeonium spathulatum
Aeonium undulatum
Aeonium urbicum
Aeonium velutinum
Aerva javanica
Aerva lanata
Aeschynanthus speciosus
Aeschynomene americana
Aeschynomene americana glandulosa
Aeschynomene aspera
Aeschynomene elaphroxylon
Aeschynomene evenia
Aeschynomene falcata
Aeschynomene histrix
Aeschynomene indica
Aeschynomene paniculata
Aeschynomene pratensis
Aeschynomene rudis
Aeschynomene scabra
Aeschynomene schimperi
Aeschynomene sensitiva
Aeschynomene villosa
Aesculus chinensis
Aesculus flava
Aesculus glabra
Aesculus hippocastanum
Aesculus indica
Aesculus parviflora
Aesculus pavia
Aetheorhiza bulbosa
Aethusa cynapium
Aethusa cynapium segetalis
Aframomum angustifolium
Aframomum melegueta
Afrocanthium mundianum
Afrocarpus falcatus
Afrocarpus gracilior
Agalinis heterophylla
Agalinis setacea
Agalinis tenuifolia
Agapanthus africanus
Agapanthus praecox
Agapanthus praecox orientalis
Agarista populifolia
Agastache foeniculum
Agastache rugosa
Agastache scrophulariifolia
Agathis australis
Agathis dammara
Agathis macrophylla
Agathis moorei
Agathis robusta
Agathophyllum persoonianum
Agathosma apiculata
Agave americana
Agave americana expansa
Agave atrovirens
Agave attenuata
Agave cantala
Agave cantala cantala
Agave decipiens
Agave desmettiana
Agave fourcroydes
Agave parviflora
Agave salmiana
Agave salmiana ferox
Agave sisalana
Agave vera-cruz
Agave vivipara
Agave weberi
Agdestis clematidea
Ageratina adenophora
Ageratina altissima
Ageratina liebmannii
Ageratina ligustrina
Ageratina riparia
Ageratum conyzoides
Ageratum houstonianum
Aglaia erythrosperma
Aglaia malaccensis
Aglaia odorata
Aglaonema commutatum
Aglaonema costatum
Aglaonema marantifolium
Aglaonema modestum
Aglaonema nitidum
Aglaonema pictum
Aglaonema pseudobracteatum
Aglaonema simplex
Agoseris aurantiaca
Agrimonia eupatoria
Agrimonia eupatoria grandis
Agrimonia microcarpa
Agrimonia parviflora
Agropogon lutosus
Agropyron brownei
Agropyron cristatum
Agropyron dasyanthum
Agropyron desertorum
Agropyron fragile
Agropyron retrofractum
Agrostemma brachyloba
Agrostemma githago
Agrostis anadyrensis
Agrostis avenacea
Agrostis bjoerkmannii
Agrostis canina
Agrostis capillaris
Agrostis castellana
Agrostis elliottiana
Agrostis exarata
Agrostis fouilladeana
Agrostis fouilladei
Agrostis gigantea
Agrostis hyemalis
Agrostis idahoensis
Agrostis lachnantha
Agrostis lessoniana
Agrostis montevidensis
Agrostis nebulosa
Agrostis perennans
Agrostis scabra
Agrostis stolonifera
Agrostis tandilensis
Aichryson laxum
Ailanthus altissima
Aiphanes horrida
Aira caryophyllea
Aira cupaniana
Aira elegantissima
Aira praecox
Aira provincialis
Aizoanthemum hispanicum
Aizoon canariense
Aizoon rigidum
Ajuga chamaepitys
Ajuga decumbens
Ajuga genevensis
Ajuga iva
Ajuga pyramidalis
Ajuga reptans
Akebia pentaphylla
Akebia quinata
Albizia adinocephala
Albizia carbonaria
Albizia chinensis
Albizia coriaria
Albizia julibrissin
Albizia lebbeck
Albizia lebbekoides
Albizia niopoides
Albizia procera
Albizia saman
Albizia saponaria
Albuca bracteata
Albuca canadensis
Alcea pallida
Alcea rosea
Alcea rugosa
Alcea setosa
Alchemilla acutiloba
Alchemilla baltica
Alchemilla conjuncta
Alchemilla cymatophylla
Alchemilla filicaulis
Alchemilla glabra
Alchemilla glaucescens
Alchemilla heptagona
Alchemilla incisa
Alchemilla mollis
Alchemilla monticola
Alchemilla plicata
Alchemilla propinqua
Alchemilla sarmatica
Alchemilla speciosa
Alchemilla splendens
Alchemilla subcrenata
Alchemilla tytthantha
Alchemilla venosa
Alchemilla xanthochlora
Aldama dentata
Aldrovanda vesiculosa
Aleurites moluccanus
Alhagi maurorum
Alhagi pseudalhagi
Alisma gramineum
Alisma lanceolatum
Alisma plantago-aquatica
Allamanda blanchetii
Allamanda cathartica
Allamanda oenotherifolia
Allamanda schottii
Alliaria petiolata
Allium aaseae
Allium altissimum
Allium ampeloprasum
Allium angulosum
Allium ascalonicum
Allium atropurpureum
Allium atroviolaceum
Allium bidentatum
Allium carinatum
Allium cepa
Allium chinense
Allium cyrilli
Allium fistulosum
Allium flavum
Allium fuscum
Allium hollandicum
Allium lusitanicum
Allium moly
Allium neapolitanum
Allium nigrum
Allium nutans
Allium oleraceum
Allium paniculatum
Allium paradoxum
Allium pendulinum
Allium ramosum
Allium roseum
Allium rotundum
Allium sativum
Allium schoenoprasum
Allium scorodoprasum
Allium siculum
Allium sphaerocephalon
Allium subhirsutum
Allium textile
Allium triquetrum
Allium tuberosum
Allium ursinum
Allium victorialis
Allium vineale
Allmania nodiflora
Allocasuarina diminuta
Allocasuarina littoralis
Allocasuarina verticillata
Allophylus cobbe
Alloteropsis cimicina
Alnus alnobetula fruticosa
Alnus alnobetula sinuata
Alnus cordata
Alnus glutinosa
Alnus incana
Alnus incana rugosa
Alnus nepalensis
Alnus rubra
Alocasia brisbanensis
Alocasia cucullata
Alocasia cuprea
Alocasia lauterbachiana
Alocasia longiloba
Alocasia macrorrhizos
Alocasia mortfontanensis
Alocasia odora
Alocasia portei
Alocasia sanderiana
Alocasia sedenii
Aloe arborescens
Aloe brevifolia
Aloe camperi
Aloe ciliaris
Aloe humilis
Aloe littoralis
Aloe maculata
Aloe massawana
Aloe officinalis
Aloe parvibracteata
Aloe plicatilis
Aloe schoenlandii
Aloe striata
Aloe striatula
Aloe succotrina
Aloe variegata
Aloe vera
Alopecurus aequalis
Alopecurus arundinaceus
Alopecurus carolinianus
Alopecurus creticus
Alopecurus geniculatus
Alopecurus japonicus
Alopecurus longiaristatus
Alopecurus myosuroides
Alopecurus pratensis
Alopecurus rendlei
Alopecurus utriculatus
Aloysia citriodora
Aloysia gratissima
Alphitonia excelsa
Alpinia galanga
Alpinia malaccensis
Alpinia mutica
Alpinia nigra
Alpinia nutans
Alpinia officinarum
Alpinia purpurata
Alpinia uraiensis
Alpinia vittata
Alpinia zerumbet
Alsophila australis
Alstonia macrophylla
Alstonia scholaris
Alstonia venenata
Alstroemeria aurea
Alstroemeria pulchella
Alternanthera bettzickiana
Alternanthera brasiliana
Alternanthera caracasana
Alternanthera ficoidea
Alternanthera flavescens
Alternanthera halimifolia
Alternanthera littoralis
Alternanthera paronychioides
Alternanthera philoxeroides
Alternanthera pungens
Alternanthera ramosissima
Alternanthera reineckii
Alternanthera sessilis
Alternanthera spinosa
Althaea armeniaca
Althaea cannabina
Althaea hirsuta
Althaea longiflora
Althaea ludwigii
Althaea officinalis
Alysicarpus bupleurifolius
Alysicarpus monilifer
Alysicarpus ovalifolius
Alysicarpus rugosus
Alysicarpus vaginalis
Alyssum alyssoides
Alyssum argenteum
Alyssum corsicum
Alyssum desertorum
Alyssum libycum
Alyssum linifolium
Alyssum minutum
Alyssum montanum
Alyssum murale
Alyssum rostratum
Alyssum simplex
Alyssum szovitsianum
Amaranthus albus
Amaranthus arenicola
Amaranthus australis
Amaranthus blitoides
Amaranthus blitum
Amaranthus blitum emarginatus
Amaranthus blitum oleraceus
Amaranthus budensis
Amaranthus cannabinus
Amaranthus caudatus
Amaranthus celosioides
Amaranthus crassipes
Amaranthus crispus
Amaranthus cruentus
Amaranthus deflexus
Amaranthus dubius
Amaranthus galii
Amaranthus graecizans
Amaranthus graecizans silvestris
Amaranthus hybridus
Amaranthus hybridus quitensis
Amaranthus hypochondriacus
Amaranthus interruptus
Amaranthus macrocarpus
Amaranthus mitchellii
Amaranthus muricatus
Amaranthus ozanonii
Amaranthus palmeri
Amaranthus polygonoides
Amaranthus powellii
Amaranthus powellii bouchonii
Amaranthus retroflexus
Amaranthus rosengurttii
Amaranthus roxburghianus
Amaranthus spinosus
Amaranthus standleyanus
Amaranthus thunbergii
Amaranthus tricolor
Amaranthus tuberculatus
Amaranthus viridis
Amaryllis belladonna
Amberboa moschata
Amblovenatum opulentum
Amblyolepis setigera
Amblyopappus pusillus
Ambrosia acanthicarpa
Ambrosia arborescens
Ambrosia artemisiifolia
Ambrosia bidentata
Ambrosia confertiflora
Ambrosia grayi
Ambrosia hispida
Ambrosia maritima
Ambrosia peruviana
Ambrosia psilostachya
Ambrosia tenuifolia
Ambrosia tomentosa
Ambrosia trifida
Amelanchier alnifolia
Amelanchier laevis
Amelanchier lamarckii
Amelanchier neglecta
Amelanchier ovalis
Amelanchier quinti-martii
Amelanchier sanguinea
Amelanchier spicata
Amherstia nobilis
Ammannia auriculata
Ammannia baccifera
Ammannia coccinea
Ammannia latifolia
Ammannia multiflora
Ammannia robusta
Ammannia verticillata
Ammi fistulosus
Ammi majus
Ammi visnaga
Ammobium alatum
Ammophila arenaria
Ammophila breviligulata
Ammoselinum butleri
Amorpha fruticosa
Amorphophallus paeoniifolius
Ampelamus laevis
Ampelaster carolinianus
Ampelocissus arachnoidea
Ampelocissus indica
Ampelodesmos mauritanicus
Ampelopsis aconitifolia
Ampelopsis arborea
Ampelopsis cordata
Ampelopsis glandulosa
Ampelopsis glandulosa brevipedunculata
Ampelopsis humulifolia
Amphiachyris dracunculoides
Amphibromus fluitans
Amphibromus nervosus
Amphilophium buccinatorium
Amphilophium crucigerum
Amphilophium paniculatum
Amsinckia calycina
Amsinckia eastwoodiae
Amsinckia lycopsoides
Amsinckia menziesii
Amsinckia menziesii intermedia
Amsinckia spectabilis
Amsinckia tessellata
Amsonia tabernaemontana
Amsonia tabernaemontana salicifolia
Amyris sylvatica
Anacardium occidentale
Anacyclus clavatus
Anacyclus pyrethrum
Anacyclus radiatus
Anadenanthera peregrina
Anagallis arvensis
Anagallis arvensis caerulea
Anagallis arvensis foemina
Anagallis arvensis parviflora
Anagallis minima
Anagallis monelli
Anagallis pumila
Anagallis tenella
Anagyris foetida
Ananas ananassoides
Ananas comosus
Ananas lucidus
Anaphalioides bellidioides
Anaphalis margaritacea
Anarrhinum bellidifolium
Anchusa arvensis
Anchusa arvensis orientalis
Anchusa azurea
Anchusa capensis
Anchusa leptophylla
Anchusa ochroleuca
Anchusa officinalis
Anchusa procera
Anchusa stylosa
Anchusa thessala
Anchusa undulata hybrida
Andira inermis
Andrachne telephioides
Andrographis echioides
Andrographis paniculata
Andropogon abyssinicus
Andropogon arctatus
Andropogon bicornis
Andropogon distachyos
