FirstRecord,verbatimEventDate,eventRemarks
20032007,2003 � 2007,low confidence
20052007,2005 � 2007,low confidence
19761985,1976�1985,low confidence
19621987,1962�1987,low confidence
"",N/A,low confidence
"",N/A,low confidence
"",N/A,low confidence
"",N/A,low confidence
"",N/A,low confidence
"",Polynesian (Imada et al (2005)),low confidence
19701998,1970 (American Ornithologists' Union (1998b)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian period (HI),low confidence
19881991,1988/1991,low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
19541957,1954 (Zimmerman 1957),low confidence
"",Polynesian period (HI),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian period (HI),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
18651998,~1865 (American Ornithologists' Union (1998a)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
"",Polynesian (Imada et al (2005)),low confidence
18971986,1897; aggressive strain B 1986,low confidence
"",Norse exploration,low confidence
242013,"before July 24, 2013",low confidence
"",after the turn of the century,low confidence
19772005,"Oregon 1970s, Northeastern US 2005",low confidence
18702019,1870 (Audubon (2019a)),low confidence
17982019,1790s (Audubon (2019b)),low confidence
19602019,1960 (Audubon (2019e)),low confidence
202006,20 years before 2006,low confidence
19172019,1917 (Audubon (2019c)),low confidence
19632019,1963 (Audubon (2019d)),low confidence
161981,16�17 July 1981,low confidence
-500,-500,low confidence
"",sd,low confidence
19981999,1998/1999,low confidence
20072008,2007/2008,low confidence
20072008,2007/2008,low confidence
20072008,2007/2008,low confidence
20072008,2007/2008,low confidence
20072008,2007/2008,low confidence
20072008,2007/2008,low confidence
20072008,2007/2008,low confidence
20072008,2007/2008,low confidence
20072008,2007/2008,low confidence
20072008,2007/2008,low confidence
"",unkn,low confidence
"",unkn,low confidence
"",unkn,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
211945-1955,Showa 20s (1945-1955) or later,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",Before World War 2,low confidence
"",Before World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",Before World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
"",After World War 2,low confidence
