FirstRecord,verbatimEventDate,eventRemarks
"",Bronze Age,low confidence
"",Archaeophyte,low confidence
"",Middle Ages,low confidence
"",Middle Ages,low confidence
"",Middle Ages,low confidence
-550,-550,low confidence
"",Middle Ages,low confidence
-550,-550,low confidence
"",Native,low confidence
"",Middle Ages,low confidence
19171,<19171,low confidence
"",Middle Ages,low confidence
"",Neophyte,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Middle Ages,low confidence
"",Middle Ages,low confidence
"",Middle Ages,low confidence
"",Prehistoric time,low confidence
"",Middle Ages,low confidence
"",Middle Ages,low confidence
"",Middle Ages,low confidence
"",Neolithic time,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Bronze Age,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
"",Iron Age,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Neolithic time,low confidence
"",Neolithic time,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Neophyte,low confidence
"",Neophyte,low confidence
"",Neophyte,low confidence
"",Neolithic time,low confidence
"",Neophyte,low confidence
"",Archaeophyte,low confidence
"",Neolithic time,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Prehistoric time,low confidence
"",Middle Ages,low confidence
"",Bronze Age,low confidence
"",Neophyte,low confidence
"",Archaeophyte,low confidence
"",Middle Ages,low confidence
"",Neophyte,low confidence
"",Archaeophyte,low confidence
"",Iron Age,low confidence
"",Middle Ages,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
-400,400 (BC),low confidence
"",Middle Ages,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Iron Age,low confidence
16881800,1688 or 1800,low confidence
"",Neolithic time,low confidence
-500,Pre 500 (BC),low confidence
"",Neolithic time,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Neophyte,low confidence
"",Neophyte,low confidence
"",Neolithic time,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Middle Ages,low confidence
"",Neophyte,low confidence
"",Neophyte,low confidence
"",Archaeophyte,low confidence
"",Archaeophyte,low confidence
"",Bronze Age,low confidence
"",Neophyte,low confidence
"",Archaeophyte,low confidence
"",Neolithic time,low confidence
"",Archaeophyte,low confidence
"",Neolithic time,low confidence
"",Neolithic time,low confidence
"",Neolithic time,low confidence
"",Middle Ages,low confidence
"",Neophyte,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Middle Ages,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Neophyte,low confidence
"",Neophyte,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Neophyte,low confidence
"",Neolithic time,low confidence
"",Middle Ages,low confidence
"",Archaeophyte,low confidence
"",Middle Ages,low confidence
-500,Pre 500 (BC),low confidence
-500,Pre 500 (BC),low confidence
"",Neolithic time,low confidence
"",Middle Ages,low confidence
"",Middle Ages,low confidence
"",Neophyte,low confidence
"",-100-0,low confidence
-200,-200,low confidence
"",-100-0,low confidence
-979,-1400--700,low confidence
"",-100-0,low confidence
-468,-1000-700,low confidence
-638,-3000--2000,low confidence
"",0,low confidence
"",  ,low confidence
-926,-1000--100,low confidence
-851,-1000-0,low confidence
-218,-218,low confidence
"",-100-0,low confidence
"",0,low confidence
"",50,low confidence
"",-100-0,low confidence
-167,-6000--2000,low confidence
-159,-300--100,low confidence
"",0-100,low confidence
-429,-429,low confidence
-882,-900--500,low confidence
-700,-700,low confidence
-200,-200,low confidence
-297,-600--400,low confidence
-781,-5600--5500,low confidence
-871,-1400--700,low confidence
"",-1200--500,low confidence
18561866,1850s � 1860s,low confidence
"",17th,low confidence
"",17th,low confidence
"",17th,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",17th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",-,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",17th cen,low confidence
"",17th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",18th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",18th cen,low confidence
"",20th cen,low confidence
"",19th cen,low confidence
"",-,low confidence
"",-,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",18th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",18th cen,low confidence
"",19th cen,low confidence
"",18th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",18th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",20th cen,low confidence
"",19th cen,low confidence
"",18th cen,low confidence
"",19th cen,low confidence
"",18th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",18th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",-,low confidence
"",19th cen,low confidence
"",19th cen,low confidence
"",18th cen,low confidence
19031914,"1903, 1914",low confidence
"",-,low confidence
"",0,low confidence
"",No information found,low confidence
"",n/a,low confidence
"",-,low confidence
"",-,low confidence
"",-,low confidence
"",-,low confidence
"",-,low confidence
"",-,low confidence
"",-,low confidence
"",-,low confidence
"",-,low confidence
"",� ,low confidence
19741975,"1974,1975",low confidence
1949-19511953,"1949-51, 1953",low confidence
"",recently imported,low confidence
1917-19191920-1923,1917-1919; 1920-1923,low confidence
"",Accidental introduction,low confidence
19341940,"1934,1940",low confidence
1934-19431946,1934-1943 & 1946,low confidence
19691980,1969 to 1980,low confidence
1972737980,"1972,73,79,80",low confidence
19701972,"1970,1972",low confidence
19311933,"1931,1933",low confidence
"",accidentally released ,low confidence
193119331936,"1931, 1933, 1936",low confidence
19281935,1928 & 1935,low confidence
-243,-1800-1800,low confidence
-676,-1800-1800,low confidence
"",-1800-1800,low confidence
-995,-1800-1800,low confidence
"",-1800-1800,low confidence
"",na,low confidence
"",na,low confidence
"",na,low confidence
"",na,low confidence
"",na,low confidence
"",na,low confidence
"",na,low confidence
"","native, exclude",low confidence
"",ND ,low confidence
"",ND ,low confidence
"",ND ,low confidence
19341944,1930s � 1940s,low confidence
19601970,1960 � 1970,low confidence
750500,750–500 B,low confidence
19001910,1900–1910,low confidence
"",Modern,low confidence
"",modern,low confidence
"",Before Spring,low confidence
"",Before liberation,low confidence
"",Ancient,low confidence
"",Ancient,low confidence
"","The Qing Dynasty came in, first used for flowers",low confidence
"",modern,low confidence
"",modern,low confidence
"",Ancient,low confidence
"",Ancient,low confidence
"",Introduced during colonial period,low confidence
"",modern,low confidence
"",modern,low confidence
"",modern,low confidence
"",modern,low confidence
"",Modern,low confidence
"",modern,low confidence
"",modern,low confidence
"",modern,low confidence
"",modern,low confidence
"",Ancient,low confidence
"",Ancient,low confidence
19331947,"1933 (Kaohsiung, Taiwan), 1947 (Hainan)",low confidence
"",modern,low confidence
"",modern,low confidence
"",Modern,low confidence
"",Ancient,low confidence
"",About the Qing Dynasty,low confidence
"",Ancient,low confidence
"",modern,low confidence
"",modern,low confidence
"",modern,low confidence
"",modern,low confidence
"",modern,low confidence
"",Ancient,low confidence
-126,126 BC,low confidence
"",Ancient,low confidence
"",Ancient,low confidence
"",Modern,low confidence
"",Modern,low confidence
"",Ancient,low confidence
"",modern,low confidence
"",modern,low confidence
"",Modern,low confidence
19081937,1908�/ 1930s,low confidence
"",modern,low confidence
"",modern,low confidence
"",modern,low confidence
