taxonID,taxon,originalNameUsage,scientificName,scientificNameAuthorship,GBIFstatus,GBIFstatus_Synonym,GBIFmatchtype,GBIFtaxonRank,GBIFusageKey,GBIFnote,species,genus,family,order,class,phylum,kingdom,taxaGroup
726,Sisyrinchium angustifolium,Sisyrinchium angustifolium Mill,Sisyrinchium angustifolium Mill.,"",ACCEPTED,"",EXACT,SPECIES,5296015,"",Sisyrinchium angustifolium,Sisyrinchium,Iridaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,Vascular plants
1112,Sisyrinchium californicum,Sisyrinchium californicum NA,Sisyrinchium californicum (Ker Gawl.) Dryand.,"",ACCEPTED,"",EXACT,SPECIES,5296218,Accepted name provided in 'alternative names' in GBIF,Sisyrinchium californicum,Sisyrinchium,Iridaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,Vascular plants
941,Sisyrinchium montanum,Sisyrinchium montanum NA,Sisyrinchium montanum Greene,"",ACCEPTED,"",EXACT,SPECIES,5296178,Accepted name provided in 'alternative names' in GBIF,Sisyrinchium montanum,Sisyrinchium,Iridaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,Vascular plants
624,Sitobion fragariae,Sitobion fragariae,"Sitobion fragariae (Walker, 1848)","",ACCEPTED,"",EXACT,SPECIES,2073024,"",Sitobion fragariae,Sitobion,Aphididae,Hemiptera,Insecta,Arthropoda,Animalia,Insects
490,Sitona hispidulus,Sitona hispidulus,"Sitona hispidulus (Fabricius, 1777)","",ACCEPTED,"",EXACT,SPECIES,1181241,"",Sitona hispidulus,Sitona,Curculionidae,Coleoptera,Insecta,Arthropoda,Animalia,Insects
987,Sitophilus oryzae,"Sitophilus oryzae (Linnaeus, 1758)","Sitophilus oryzae A.Hustache, 1930","",SYNONYM,"",EXACT,SPECIES,8984023,"",Sitophilus oryzae,Sitophilus,Dryophthoridae,Coleoptera,Insecta,Arthropoda,Animalia,Insects
890,Sitophilus zeamais,"Sitophilus zeamais (Motschulsky, 1855)","Sitophilus zeamais Motschulsky & V.de, 1855","",ACCEPTED,"",EXACT,SPECIES,4291553,"",Sitophilus zeamais,Sitophilus,Dryophthoridae,Coleoptera,Insecta,Arthropoda,Animalia,Insects
177,Sixalix atropurpurea,Sixalix atropurpurea,Sixalix atropurpurea (L.) Greuter & Burdet,"",ACCEPTED,"",EXACT,SPECIES,7301010,"",Sixalix atropurpurea,Sixalix,Caprifoliaceae,Dipsacales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
816,Smicronyx roridus,Smicronyx  roridus NA,"Smicronyx roridus Marshall, 1952","",ACCEPTED,"",EXACT,SPECIES,9291056,Accepted name provided in 'alternative names' in GBIF,Smicronyx roridus,Smicronyx,Curculionidae,Coleoptera,Insecta,Arthropoda,Animalia,Insects
226,Solanum betaceum,Solanum betaceum NA,Solanum betaceum Cav.,"",ACCEPTED,"",EXACT,SPECIES,2930216,Accepted name provided in 'alternative names' in GBIF,Solanum betaceum,Solanum,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
147,Solanum linnaeanum,Solanum linnaeanum,Solanum linnaeanum Hepper & P.-M.L.Jaeger,"",ACCEPTED,"",EXACT,SPECIES,2929062,"",Solanum linnaeanum,Solanum,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
909,Solanum marginatum,Solanum marginatum,Solanum marginatum L.fil.,Lf,ACCEPTED,"",EXACT,SPECIES,7538163,"",Solanum marginatum,Solanum,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1169,Solanum mauritianum,Solanum mauritianum,Solanum mauritianum Scop.,"",ACCEPTED,"",EXACT,SPECIES,2931469,"",Solanum mauritianum,Solanum,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1192,Solanum nigrum,Solanum nigrum*,Solanum nigrum L.,"",ACCEPTED,"",EXACT,SPECIES,9150405,"",Solanum nigrum,Solanum,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
417,Solanum pseudocapsicum,Solanum pseudocapsicum L,Solanum pseudocapsicum L.,"",ACCEPTED,"",EXACT,SPECIES,2931104,"",Solanum pseudocapsicum,Solanum,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1062,Solanum pygmaeum,Solanum pygmaeum NA,Solanum pygmaeum Cav.,"",ACCEPTED,"",EXACT,SPECIES,2932501,Accepted name provided in 'alternative names' in GBIF,Solanum pygmaeum,Solanum,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
